Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
122,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GRZYBOWSKI Tomasz Jarosław,1
122,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KOPNIEWSKA Aleksandra Ewa,1
122,KWW JAROSŁAWA PUCKA DOBRO MIASTA,TOMCZAK Michał Bartłomiej,5
122,KWW LEWICA,KANIA Henryk,6
122,KWW LEWICA,LEWANDOWSKI Tomasz Jacek,78
122,KWW LEWICA,GARCZEWSKI Łukasz,4
122,KWW LEWICA,PARZYCH Ewa Barbara,4
122,KWW LEWICA,ANDRZEJEWSKA Ewa,4
122,KWW LEWICA,ABRAMOWICZ Dawid Piotr,0
122,KWW LEWICA,IGNASZAK Magdalena,3
122,KWW LEWICA,ZACZYŃSKI Ryszard Henryk,4
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WIERZBICKI Tomasz,18
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HOPPE Mateusz,2
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WRÓBLEWSKA Karolina,13
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KASPROWICZ Marcin Michał,0
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOPEĆ Mateusz Krzysztof,4
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,CIEŚLEWICZ-GALAS Katarzyna Stanisława,7
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MIĘSIAK Michał Jan,5
122,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ANDRZEJEWSKA Agnieszka Ewa,8
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIŚNIEWSKI Mariusz Michał,378
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,LEWANDOWSKA Agnieszka Danuta,142
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KRÓL Dominika Urszula,61
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JURA Grzegorz Stanisław,13
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIECZOREK-KISTOWSKA Alina Karolina,12
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JACYGRAD Jacek,4
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GUMNY Artur,11
123,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KŁOPOCKI Kamil Jan,16
123,KWW KUKIZ'15,HINC Przemysław Jakub,22
123,KWW KUKIZ'15,KSIĄŻKIEWICZ Jarosław Jan,5
123,KWW KUKIZ'15,KURASZKIEWICZ Joanna Małgorzata,6
123,KWW KUKIZ'15,MATUSZAK Daniel,3
123,KWW KUKIZ'15,POPIELARSKA Dorota,5
123,KWW KUKIZ'15,SPYCHAŁ Jędrzej,1
123,KWW KUKIZ'15,MAZUREK Michał,3
123,KWW KUKIZ'15,BIELAWNA Barbara Ewa,3
123,KW PRAWO I SPRAWIEDLIWOŚĆ,ALEXANDROWICZ Przemysław Józef,153
123,KW PRAWO I SPRAWIEDLIWOŚĆ,KAPUSTKA Łukasz Tomasz,56
123,KW PRAWO I SPRAWIEDLIWOŚĆ,GÓRNY Zbyszko Stanisław,12
123,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĄDZYŃSKA Małgorzata,3
123,KW PRAWO I SPRAWIEDLIWOŚĆ,FABROWSKA Anna Magdalena,3
123,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Monika Anna,15
123,KW PRAWO I SPRAWIEDLIWOŚĆ,ORLICKA Beata,8
123,KW PRAWO I SPRAWIEDLIWOŚĆ,SYTEK Przemysław Wojciech,5
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,CHOMICZ Wojciech,14
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KRUCZKOWSKI Michał,6
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOPCZYŃSKA Anna,11
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,DAJKSLER Urszula,2
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NECELMAN Wiesław Piotr,5
123,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,NOWAK Maria Jolanta,0
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,NIEDBAŁA Marek Leon,30
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PERLIŃSKI Miron Kazimierz,4
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KAPELA Maria Małgorzata,3
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKI Aleksander Marek,3
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SZÓSTAK Hanna,2
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GRZYBOWSKI Tomasz Jarosław,3
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,KOPNIEWSKA Aleksandra Ewa,2
123,KWW JAROSŁAWA PUCKA DOBRO MIASTA,TOMCZAK Michał Bartłomiej,10
123,KWW LEWICA,KANIA Henryk,6
123,KWW LEWICA,LEWANDOWSKI Tomasz Jacek,73
123,KWW LEWICA,GARCZEWSKI Łukasz,7
123,KWW LEWICA,PARZYCH Ewa Barbara,3
123,KWW LEWICA,ANDRZEJEWSKA Ewa,2
123,KWW LEWICA,ABRAMOWICZ Dawid Piotr,3
123,KWW LEWICA,IGNASZAK Magdalena,4
123,KWW LEWICA,ZACZYŃSKI Ryszard Henryk,2
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WIERZBICKI Tomasz,24
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HOPPE Mateusz,3
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WRÓBLEWSKA Karolina,8
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KASPROWICZ Marcin Michał,5
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOPEĆ Mateusz Krzysztof,2
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,CIEŚLEWICZ-GALAS Katarzyna Stanisława,6
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MIĘSIAK Michał Jan,3
123,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,ANDRZEJEWSKA Agnieszka Ewa,3
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIŚNIEWSKI Mariusz Michał,410
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,LEWANDOWSKA Agnieszka Danuta,115
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KRÓL Dominika Urszula,41
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JURA Grzegorz Stanisław,11
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,WIECZOREK-KISTOWSKA Alina Karolina,9
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,JACYGRAD Jacek,3
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GUMNY Artur,20
124,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,KŁOPOCKI Kamil Jan,23
124,KWW KUKIZ'15,HINC Przemysław Jakub,29
124,KWW KUKIZ'15,KSIĄŻKIEWICZ Jarosław Jan,2
124,KWW KUKIZ'15,KURASZKIEWICZ Joanna Małgorzata,6
124,KWW KUKIZ'15,MATUSZAK Daniel,2
124,KWW KUKIZ'15,POPIELARSKA Dorota,3
124,KWW KUKIZ'15,SPYCHAŁ Jędrzej,0
124,KWW KUKIZ'15,MAZUREK Michał,3
124,KWW KUKIZ'15,BIELAWNA Barbara Ewa,1
124,KW PRAWO I SPRAWIEDLIWOŚĆ,ALEXANDROWICZ Przemysław Józef,122
124,KW PRAWO I SPRAWIEDLIWOŚĆ,KAPUSTKA Łukasz Tomasz,116
124,KW PRAWO I SPRAWIEDLIWOŚĆ,GÓRNY Zbyszko Stanisław,12
124,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĄDZYŃSKA Małgorzata,5
124,KW PRAWO I SPRAWIEDLIWOŚĆ,FABROWSKA Anna Magdalena,1
124,KW PRAWO I SPRAWIEDLIWOŚĆ,DUDZIAK Monika Anna,16
124,KW PRAWO I SPRAWIEDLIWOŚĆ,ORLICKA Beata,5
124,KW PRAWO I SPRAWIEDLIWOŚĆ,SYTEK Przemysław Wojciech,8
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,CHOMICZ Wojciech,21
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KRUCZKOWSKI Michał,4
124,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,KOPCZYŃSKA Anna,6
