Nr obwodu,Komitet wyborczy,Kandydat,Liczba głosów
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,7
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,29
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,16
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,9
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,6
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,8
83,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,3
83,KWW KUKIZ'15,BĄCZYK Paweł,15
83,KWW KUKIZ'15,BRUCH Mariusz Mirosław,0
83,KWW KUKIZ'15,BARTKOWIAK Kamil,0
83,KWW KUKIZ'15,BOGUCKA Dominika Angelika,0
83,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,1
83,KWW KUKIZ'15,ROHDE Aleksandra,1
83,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,1
83,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,80
83,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,28
83,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,2
83,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,0
83,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,3
83,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,0
83,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,2
83,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,6
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,1
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,0
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,1
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,1
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,3
83,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,2
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,29
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,3
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,5
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,1
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,1
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,1
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,0
83,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,1
83,KWW LEWICA,URBAŃSKA Beata Kinga,22
83,KWW LEWICA,SMIRNOW Amadeusz Piotr,3
83,KWW LEWICA,DWOREK Tomasz,3
83,KWW LEWICA,CIELOSZYK Marzena Barbara,1
83,KWW LEWICA,JANKOWSKI Zbysław,64
83,KWW LEWICA,SZUMIŃSKA Magdalena Julia,4
83,KWW LEWICA,SUWART Adam,1
83,KWW LEWICA,PLUCIŃSKI Patryk,0
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BARTOSIAK Krzysztof,13
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOKOLNICKA-GUZEK Maria Tatiana,3
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MALESZKA Jacek Maciej,13
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WILAK Alicja Teresa,1
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOZANECKA-ŁABĘDZKA Karina Katarzyna,3
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,PIOTROWSKA Kornelia,5
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HNATYK Bogumiła Teresa,0
83,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MUSIELAK Ryszard Wojciech,0
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,STERNALSKI Marek Jan,174
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,34
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,81
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,25
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,21
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,17
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,20
84,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,12
84,KWW KUKIZ'15,BĄCZYK Paweł,23
84,KWW KUKIZ'15,BRUCH Mariusz Mirosław,3
84,KWW KUKIZ'15,BARTKOWIAK Kamil,4
84,KWW KUKIZ'15,BOGUCKA Dominika Angelika,6
84,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,4
84,KWW KUKIZ'15,ROHDE Aleksandra,4
84,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,3
84,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,127
84,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,39
84,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,7
84,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,8
84,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,1
84,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,5
84,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,8
84,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,11
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,9
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,5
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,7
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,5
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,2
84,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,2
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,88
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,3
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,9
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,3
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,4
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,2
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,3
84,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,3
84,KWW LEWICA,URBAŃSKA Beata Kinga,119
84,KWW LEWICA,SMIRNOW Amadeusz Piotr,6
84,KWW LEWICA,DWOREK Tomasz,6
84,KWW LEWICA,CIELOSZYK Marzena Barbara,3
84,KWW LEWICA,JANKOWSKI Zbysław,7
84,KWW LEWICA,SZUMIŃSKA Magdalena Julia,3
84,KWW LEWICA,SUWART Adam,1
84,KWW LEWICA,PLUCIŃSKI Patryk,9
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BARTOSIAK Krzysztof,34
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOKOLNICKA-GUZEK Maria Tatiana,9
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MALESZKA Jacek Maciej,5
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WILAK Alicja Teresa,5
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOZANECKA-ŁABĘDZKA Karina Katarzyna,14
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,PIOTROWSKA Kornelia,3
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HNATYK Bogumiła Teresa,0
84,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MUSIELAK Ryszard Wojciech,2
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,STERNALSKI Marek Jan,133
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,31
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,62
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,29
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,26
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,13
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,18
85,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,10
85,KWW KUKIZ'15,BĄCZYK Paweł,17
85,KWW KUKIZ'15,BRUCH Mariusz Mirosław,0
85,KWW KUKIZ'15,BARTKOWIAK Kamil,9
85,KWW KUKIZ'15,BOGUCKA Dominika Angelika,4
85,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,2
85,KWW KUKIZ'15,ROHDE Aleksandra,0
85,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,2
85,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,90
85,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,17
85,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,5
85,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,7
85,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,2
85,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,2
85,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,5
85,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,2
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,9
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,2
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,11
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,4
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,0
85,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,0
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,66
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,1
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,1
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,1
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,5
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,0
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,3
85,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,2
85,KWW LEWICA,URBAŃSKA Beata Kinga,102
85,KWW LEWICA,SMIRNOW Amadeusz Piotr,8
85,KWW LEWICA,DWOREK Tomasz,3
85,KWW LEWICA,CIELOSZYK Marzena Barbara,4
85,KWW LEWICA,JANKOWSKI Zbysław,4
85,KWW LEWICA,SZUMIŃSKA Magdalena Julia,4
85,KWW LEWICA,SUWART Adam,2
85,KWW LEWICA,PLUCIŃSKI Patryk,10
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BARTOSIAK Krzysztof,16
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOKOLNICKA-GUZEK Maria Tatiana,7
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MALESZKA Jacek Maciej,5
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WILAK Alicja Teresa,2
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOZANECKA-ŁABĘDZKA Karina Katarzyna,5
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,PIOTROWSKA Kornelia,6
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HNATYK Bogumiła Teresa,0
85,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MUSIELAK Ryszard Wojciech,2
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,STERNALSKI Marek Jan,137
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,52
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,97
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,33
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,21
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,19
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,28
86,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,8
86,KWW KUKIZ'15,BĄCZYK Paweł,28
86,KWW KUKIZ'15,BRUCH Mariusz Mirosław,2
86,KWW KUKIZ'15,BARTKOWIAK Kamil,3
86,KWW KUKIZ'15,BOGUCKA Dominika Angelika,8
86,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,2
86,KWW KUKIZ'15,ROHDE Aleksandra,1
86,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,3
86,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,122
86,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,24
86,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,8
86,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,12
86,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,0
86,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,7
86,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,10
86,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,13
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,12
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,6
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,7
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,4
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,2
86,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,5
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,76
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,3
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,3
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,1
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,1
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,0
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,2
86,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,1
86,KWW LEWICA,URBAŃSKA Beata Kinga,39
86,KWW LEWICA,SMIRNOW Amadeusz Piotr,9
86,KWW LEWICA,DWOREK Tomasz,4
86,KWW LEWICA,CIELOSZYK Marzena Barbara,1
86,KWW LEWICA,JANKOWSKI Zbysław,3
86,KWW LEWICA,SZUMIŃSKA Magdalena Julia,2
86,KWW LEWICA,SUWART Adam,3
86,KWW LEWICA,PLUCIŃSKI Patryk,5
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BARTOSIAK Krzysztof,29
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOKOLNICKA-GUZEK Maria Tatiana,15
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MALESZKA Jacek Maciej,12
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WILAK Alicja Teresa,9
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOZANECKA-ŁABĘDZKA Karina Katarzyna,7
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,PIOTROWSKA Kornelia,3
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HNATYK Bogumiła Teresa,4
86,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MUSIELAK Ryszard Wojciech,2
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,STERNALSKI Marek Jan,82
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,25
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,53
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,24
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,11
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,13
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,20
87,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,1
87,KWW KUKIZ'15,BĄCZYK Paweł,11
87,KWW KUKIZ'15,BRUCH Mariusz Mirosław,0
87,KWW KUKIZ'15,BARTKOWIAK Kamil,4
87,KWW KUKIZ'15,BOGUCKA Dominika Angelika,2
87,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,1
87,KWW KUKIZ'15,ROHDE Aleksandra,1
87,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,3
87,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,116
87,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,14
87,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,4
87,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,6
87,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,2
87,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,3
87,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,4
87,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,8
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,1
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,2
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,4
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,2
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,1
87,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,0
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,36
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,0
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,0
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,1
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,2
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,0
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,3
87,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,3
87,KWW LEWICA,URBAŃSKA Beata Kinga,15
87,KWW LEWICA,SMIRNOW Amadeusz Piotr,7
87,KWW LEWICA,DWOREK Tomasz,3
87,KWW LEWICA,CIELOSZYK Marzena Barbara,2
87,KWW LEWICA,JANKOWSKI Zbysław,4
87,KWW LEWICA,SZUMIŃSKA Magdalena Julia,3
87,KWW LEWICA,SUWART Adam,1
87,KWW LEWICA,PLUCIŃSKI Patryk,6
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,BARTOSIAK Krzysztof,15
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,SOKOLNICKA-GUZEK Maria Tatiana,4
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MALESZKA Jacek Maciej,4
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,WILAK Alicja Teresa,3
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,KOZANECKA-ŁABĘDZKA Karina Katarzyna,3
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,PIOTROWSKA Kornelia,3
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,HNATYK Bogumiła Teresa,2
87,KWW SPOŁECZNA KOALICJA „PRAWO DO MIASTA”,MUSIELAK Ryszard Wojciech,1
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,STERNALSKI Marek Jan,149
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,CHUDY Wojciech Adam,43
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,DANELSKA Monika Anna,48
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,RATAJ Andrzej Michał,27
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,GĘBKA-SUSKA Anna Barbara,73
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FILIPIAK Krzysztof Wacław,12
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,FRIEDRICH Aleksandra,12
88,KKW PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA,SCHUPKE Stanisław,5
88,KWW KUKIZ'15,BĄCZYK Paweł,20
88,KWW KUKIZ'15,BRUCH Mariusz Mirosław,2
88,KWW KUKIZ'15,BARTKOWIAK Kamil,3
88,KWW KUKIZ'15,BOGUCKA Dominika Angelika,4
88,KWW KUKIZ'15,LECHOCIŃSKA Joanna Malta,1
88,KWW KUKIZ'15,ROHDE Aleksandra,2
88,KWW KUKIZ'15,CZUJEK Mariusz Krzysztof,2
88,KW PRAWO I SPRAWIEDLIWOŚĆ,GRZEŚ Michał,349
88,KW PRAWO I SPRAWIEDLIWOŚĆ,SZYNKOWSKA VEL SĘK Sara Barbara,22
88,KW PRAWO I SPRAWIEDLIWOŚĆ,ANDRZEJEWSKI Mateusz Daniel,5
88,KW PRAWO I SPRAWIEDLIWOŚĆ,CHĘCIŃSKA-WIŚNIEWSKA Iwona,5
88,KW PRAWO I SPRAWIEDLIWOŚĆ,KONDELLA Michał Maciej,0
88,KW PRAWO I SPRAWIEDLIWOŚĆ,KOMAR-SZULCZYŃSKA Izabela Maria,4
88,KW PRAWO I SPRAWIEDLIWOŚĆ,RATAJCZAK Marcin Sebastian,3
88,KW PRAWO I SPRAWIEDLIWOŚĆ,WOŹNIAK Paweł,6
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PAWŁOWSKI Maciej,4
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PRONIEWICZ Katarzyna,3
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BRATKOWSKI Wojciech,4
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,FIJAŁKOWSKA Jadwiga Małgorzata,1
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,PREISS Dariusz,2
88,KWW POZNAŃ OD NOWA INICJATYWA SPOŁECZNA,BOBER-KOWALCZYK Julita Magdalena,0
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,GROBELNY Ryszard,64
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,JABŁOŃSKI Szymon Jan,1
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,PRZEWOŹNA Bożena Teresa,1
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,RYBAK-WENDROWICZ Bernadeta,64
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WYSOCKA Elżbieta,1
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,OKSZA-PŁACZKOWSKI Jędrzej Stefan,1
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,SOCZKA Alina Maria,1
88,KWW JAROSŁAWA PUCKA DOBRO MIASTA,WAŁĘSA Radosław Lech,2
88,KWW LEWICA,URBAŃSKA Beata Kinga,41
