Nr obwodu,Kandydat,Liczba głosów
24,BONK-HAMMERMEISTER Dorota Magdalena,18
24,BRATKOWSKI Wojciech,7
24,HINC Przemysław Jakub,15
24,JAŚKOWIAK Jacek,271
24,LEWANDOWSKI Tomasz Jacek,49
24,PUCEK Jarosław,59
24,ZYSK Tadeusz,109
25,BONK-HAMMERMEISTER Dorota Magdalena,26
25,BRATKOWSKI Wojciech,14
25,HINC Przemysław Jakub,19
25,JAŚKOWIAK Jacek,338
25,LEWANDOWSKI Tomasz Jacek,45
25,PUCEK Jarosław,73
25,ZYSK Tadeusz,142
26,BONK-HAMMERMEISTER Dorota Magdalena,24
26,BRATKOWSKI Wojciech,10
26,HINC Przemysław Jakub,8
26,JAŚKOWIAK Jacek,382
26,LEWANDOWSKI Tomasz Jacek,49
26,PUCEK Jarosław,57
26,ZYSK Tadeusz,139
27,BONK-HAMMERMEISTER Dorota Magdalena,24
27,BRATKOWSKI Wojciech,12
27,HINC Przemysław Jakub,29
27,JAŚKOWIAK Jacek,566
27,LEWANDOWSKI Tomasz Jacek,60
27,PUCEK Jarosław,71
27,ZYSK Tadeusz,190
28,BONK-HAMMERMEISTER Dorota Magdalena,32
28,BRATKOWSKI Wojciech,16
28,HINC Przemysław Jakub,11
28,JAŚKOWIAK Jacek,463
28,LEWANDOWSKI Tomasz Jacek,60
28,PUCEK Jarosław,44
28,ZYSK Tadeusz,157
29,BONK-HAMMERMEISTER Dorota Magdalena,49
29,BRATKOWSKI Wojciech,21
29,HINC Przemysław Jakub,24
29,JAŚKOWIAK Jacek,574
29,LEWANDOWSKI Tomasz Jacek,69
29,PUCEK Jarosław,68
29,ZYSK Tadeusz,190
30,BONK-HAMMERMEISTER Dorota Magdalena,12
30,BRATKOWSKI Wojciech,10
30,HINC Przemysław Jakub,20
30,JAŚKOWIAK Jacek,240
30,LEWANDOWSKI Tomasz Jacek,50
30,PUCEK Jarosław,39
30,ZYSK Tadeusz,110
31,BONK-HAMMERMEISTER Dorota Magdalena,33
31,BRATKOWSKI Wojciech,26
31,HINC Przemysław Jakub,16
31,JAŚKOWIAK Jacek,443
31,LEWANDOWSKI Tomasz Jacek,55
31,PUCEK Jarosław,64
31,ZYSK Tadeusz,131
32,BONK-HAMMERMEISTER Dorota Magdalena,41
32,BRATKOWSKI Wojciech,12
32,HINC Przemysław Jakub,27
32,JAŚKOWIAK Jacek,494
32,LEWANDOWSKI Tomasz Jacek,95
32,PUCEK Jarosław,65
32,ZYSK Tadeusz,178
33,BONK-HAMMERMEISTER Dorota Magdalena,20
33,BRATKOWSKI Wojciech,9
33,HINC Przemysław Jakub,23
33,JAŚKOWIAK Jacek,284
33,LEWANDOWSKI Tomasz Jacek,49
33,PUCEK Jarosław,41
33,ZYSK Tadeusz,84
34,BONK-HAMMERMEISTER Dorota Magdalena,25
34,BRATKOWSKI Wojciech,9
34,HINC Przemysław Jakub,14
34,JAŚKOWIAK Jacek,290
34,LEWANDOWSKI Tomasz Jacek,40
34,PUCEK Jarosław,43
34,ZYSK Tadeusz,111
35,BONK-HAMMERMEISTER Dorota Magdalena,37
