Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
1,21,PUCEK Jarosław,41
1,21,ZYSK Tadeusz,166
1,22,BONK-HAMMERMEISTER Dorota Magdalena,21
1,22,BRATKOWSKI Wojciech,10
1,22,HINC Przemysław Jakub,20
1,22,JAŚKOWIAK Jacek,355
1,22,LEWANDOWSKI Tomasz Jacek,68
1,22,PUCEK Jarosław,63
1,22,ZYSK Tadeusz,174
1,23,BONK-HAMMERMEISTER Dorota Magdalena,24
1,23,BRATKOWSKI Wojciech,10
1,23,HINC Przemysław Jakub,20
1,23,JAŚKOWIAK Jacek,443
1,23,LEWANDOWSKI Tomasz Jacek,69
1,23,PUCEK Jarosław,79
1,23,ZYSK Tadeusz,213
1,24,BONK-HAMMERMEISTER Dorota Magdalena,18
1,24,BRATKOWSKI Wojciech,7
1,24,HINC Przemysław Jakub,15
1,24,JAŚKOWIAK Jacek,271
1,24,LEWANDOWSKI Tomasz Jacek,49
1,24,PUCEK Jarosław,59
1,24,ZYSK Tadeusz,109
1,25,BONK-HAMMERMEISTER Dorota Magdalena,26
1,25,BRATKOWSKI Wojciech,14
1,25,HINC Przemysław Jakub,19
1,25,JAŚKOWIAK Jacek,338
1,25,LEWANDOWSKI Tomasz Jacek,45
1,25,PUCEK Jarosław,73
1,25,ZYSK Tadeusz,142
1,26,BONK-HAMMERMEISTER Dorota Magdalena,24
1,26,BRATKOWSKI Wojciech,10
1,26,HINC Przemysław Jakub,8
1,26,JAŚKOWIAK Jacek,382
1,26,LEWANDOWSKI Tomasz Jacek,49
1,26,PUCEK Jarosław,57
1,26,ZYSK Tadeusz,139
1,27,BONK-HAMMERMEISTER Dorota Magdalena,24
1,27,BRATKOWSKI Wojciech,12
1,27,HINC Przemysław Jakub,29
1,27,JAŚKOWIAK Jacek,566
1,27,LEWANDOWSKI Tomasz Jacek,60
1,27,PUCEK Jarosław,71
1,27,ZYSK Tadeusz,190
1,28,BONK-HAMMERMEISTER Dorota Magdalena,32
1,28,BRATKOWSKI Wojciech,16
1,28,HINC Przemysław Jakub,11
1,28,JAŚKOWIAK Jacek,463
