Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
3,91,JAŚKOWIAK Jacek,472
3,91,LEWANDOWSKI Tomasz Jacek,92
3,91,PUCEK Jarosław,113
3,91,ZYSK Tadeusz,210
3,92,BONK-HAMMERMEISTER Dorota Magdalena,42
3,92,BRATKOWSKI Wojciech,28
3,92,HINC Przemysław Jakub,27
3,92,JAŚKOWIAK Jacek,654
3,92,LEWANDOWSKI Tomasz Jacek,74
3,92,PUCEK Jarosław,97
3,92,ZYSK Tadeusz,325
3,93,BONK-HAMMERMEISTER Dorota Magdalena,32
3,93,BRATKOWSKI Wojciech,20
3,93,HINC Przemysław Jakub,34
3,93,JAŚKOWIAK Jacek,677
3,93,LEWANDOWSKI Tomasz Jacek,68
3,93,PUCEK Jarosław,102
3,93,ZYSK Tadeusz,303
3,94,BONK-HAMMERMEISTER Dorota Magdalena,60
3,94,BRATKOWSKI Wojciech,13
3,94,HINC Przemysław Jakub,34
3,94,JAŚKOWIAK Jacek,565
3,94,LEWANDOWSKI Tomasz Jacek,67
3,94,PUCEK Jarosław,131
3,94,ZYSK Tadeusz,212
3,95,BONK-HAMMERMEISTER Dorota Magdalena,21
3,95,BRATKOWSKI Wojciech,21
3,95,HINC Przemysław Jakub,23
3,95,JAŚKOWIAK Jacek,611
3,95,LEWANDOWSKI Tomasz Jacek,103
3,95,PUCEK Jarosław,66
3,95,ZYSK Tadeusz,233
3,96,BONK-HAMMERMEISTER Dorota Magdalena,30
3,96,BRATKOWSKI Wojciech,20
3,96,HINC Przemysław Jakub,29
3,96,JAŚKOWIAK Jacek,825
3,96,LEWANDOWSKI Tomasz Jacek,111
3,96,PUCEK Jarosław,94
3,96,ZYSK Tadeusz,270
3,97,BONK-HAMMERMEISTER Dorota Magdalena,35
3,97,BRATKOWSKI Wojciech,18
3,97,HINC Przemysław Jakub,25
3,97,JAŚKOWIAK Jacek,719
3,97,LEWANDOWSKI Tomasz Jacek,147
3,97,PUCEK Jarosław,75
3,97,ZYSK Tadeusz,279
3,98,BONK-HAMMERMEISTER Dorota Magdalena,30
3,98,BRATKOWSKI Wojciech,23
3,98,HINC Przemysław Jakub,28
3,98,JAŚKOWIAK Jacek,775
3,98,LEWANDOWSKI Tomasz Jacek,125
3,98,PUCEK Jarosław,111
3,98,ZYSK Tadeusz,285
3,99,BONK-HAMMERMEISTER Dorota Magdalena,27
3,99,BRATKOWSKI Wojciech,13
3,99,HINC Przemysław Jakub,26
3,99,JAŚKOWIAK Jacek,517
3,99,LEWANDOWSKI Tomasz Jacek,65
3,99,PUCEK Jarosław,47
3,99,ZYSK Tadeusz,255
3,100,BONK-HAMMERMEISTER Dorota Magdalena,31
3,100,BRATKOWSKI Wojciech,18
3,100,HINC Przemysław Jakub,25
3,100,JAŚKOWIAK Jacek,800
3,100,LEWANDOWSKI Tomasz Jacek,123
3,100,PUCEK Jarosław,96
3,100,ZYSK Tadeusz,285
3,101,BONK-HAMMERMEISTER Dorota Magdalena,26
3,101,BRATKOWSKI Wojciech,19
3,101,HINC Przemysław Jakub,30
3,101,JAŚKOWIAK Jacek,687
3,101,LEWANDOWSKI Tomasz Jacek,132
3,101,PUCEK Jarosław,80
3,101,ZYSK Tadeusz,332
3,102,BONK-HAMMERMEISTER Dorota Magdalena,36
3,102,BRATKOWSKI Wojciech,19
3,102,HINC Przemysław Jakub,31
3,102,JAŚKOWIAK Jacek,737
3,102,LEWANDOWSKI Tomasz Jacek,119
3,102,PUCEK Jarosław,96
3,102,ZYSK Tadeusz,299
3,103,BONK-HAMMERMEISTER Dorota Magdalena,26
3,103,BRATKOWSKI Wojciech,9
3,103,HINC Przemysław Jakub,22
3,103,JAŚKOWIAK Jacek,694
3,103,LEWANDOWSKI Tomasz Jacek,100
3,103,PUCEK Jarosław,80
3,103,ZYSK Tadeusz,287
3,104,BONK-HAMMERMEISTER Dorota Magdalena,28
3,104,BRATKOWSKI Wojciech,18
3,104,HINC Przemysław Jakub,31
3,104,JAŚKOWIAK Jacek,559
3,104,LEWANDOWSKI Tomasz Jacek,75
3,104,PUCEK Jarosław,89
3,104,ZYSK Tadeusz,289
3,105,BONK-HAMMERMEISTER Dorota Magdalena,32
3,105,BRATKOWSKI Wojciech,27
3,105,HINC Przemysław Jakub,35
3,105,JAŚKOWIAK Jacek,617
3,105,LEWANDOWSKI Tomasz Jacek,90
3,105,PUCEK Jarosław,96
3,105,ZYSK Tadeusz,267
3,106,BONK-HAMMERMEISTER Dorota Magdalena,25
3,106,BRATKOWSKI Wojciech,28
3,106,HINC Przemysław Jakub,36
3,106,JAŚKOWIAK Jacek,600
3,106,LEWANDOWSKI Tomasz Jacek,78
3,106,PUCEK Jarosław,112
3,106,ZYSK Tadeusz,289
4,107,BONK-HAMMERMEISTER Dorota Magdalena,45
4,107,BRATKOWSKI Wojciech,17
4,107,HINC Przemysław Jakub,24
4,107,JAŚKOWIAK Jacek,719
4,107,LEWANDOWSKI Tomasz Jacek,67
4,107,PUCEK Jarosław,68
4,107,ZYSK Tadeusz,155
4,108,BONK-HAMMERMEISTER Dorota Magdalena,37
4,108,BRATKOWSKI Wojciech,16
4,108,HINC Przemysław Jakub,27
4,108,JAŚKOWIAK Jacek,677
4,108,LEWANDOWSKI Tomasz Jacek,87
4,108,PUCEK Jarosław,57
4,108,ZYSK Tadeusz,175
4,109,BONK-HAMMERMEISTER Dorota Magdalena,35
4,109,BRATKOWSKI Wojciech,19
4,109,HINC Przemysław Jakub,25
4,109,JAŚKOWIAK Jacek,598
4,109,LEWANDOWSKI Tomasz Jacek,105
4,109,PUCEK Jarosław,83
4,109,ZYSK Tadeusz,279
4,110,BONK-HAMMERMEISTER Dorota Magdalena,26
4,110,BRATKOWSKI Wojciech,9
4,110,HINC Przemysław Jakub,15
4,110,JAŚKOWIAK Jacek,547
4,110,LEWANDOWSKI Tomasz Jacek,90
4,110,PUCEK Jarosław,83
4,110,ZYSK Tadeusz,258
4,111,BONK-HAMMERMEISTER Dorota Magdalena,32
4,111,BRATKOWSKI Wojciech,11
4,111,HINC Przemysław Jakub,17
4,111,JAŚKOWIAK Jacek,642
4,111,LEWANDOWSKI Tomasz Jacek,98
4,111,PUCEK Jarosław,82
4,111,ZYSK Tadeusz,266
4,112,BONK-HAMMERMEISTER Dorota Magdalena,26
4,112,BRATKOWSKI Wojciech,20
4,112,HINC Przemysław Jakub,26
4,112,JAŚKOWIAK Jacek,591
4,112,LEWANDOWSKI Tomasz Jacek,95
4,112,PUCEK Jarosław,67
4,112,ZYSK Tadeusz,253
4,113,BONK-HAMMERMEISTER Dorota Magdalena,31
4,113,BRATKOWSKI Wojciech,20
4,113,HINC Przemysław Jakub,17
4,113,JAŚKOWIAK Jacek,686
4,113,LEWANDOWSKI Tomasz Jacek,95
4,113,PUCEK Jarosław,72
4,113,ZYSK Tadeusz,251
4,114,BONK-HAMMERMEISTER Dorota Magdalena,33
4,114,BRATKOWSKI Wojciech,23
4,114,HINC Przemysław Jakub,22
4,114,JAŚKOWIAK Jacek,603
4,114,LEWANDOWSKI Tomasz Jacek,85
4,114,PUCEK Jarosław,102
4,114,ZYSK Tadeusz,265
4,115,BONK-HAMMERMEISTER Dorota Magdalena,32
4,115,BRATKOWSKI Wojciech,19
4,115,HINC Przemysław Jakub,27
4,115,JAŚKOWIAK Jacek,597
4,115,LEWANDOWSKI Tomasz Jacek,104
4,115,PUCEK Jarosław,71
4,115,ZYSK Tadeusz,272
4,116,BONK-HAMMERMEISTER Dorota Magdalena,47
4,116,BRATKOWSKI Wojciech,16
4,116,HINC Przemysław Jakub,24
4,116,JAŚKOWIAK Jacek,626
4,116,LEWANDOWSKI Tomasz Jacek,123
4,116,PUCEK Jarosław,93
4,116,ZYSK Tadeusz,294
4,117,BONK-HAMMERMEISTER Dorota Magdalena,36
4,117,BRATKOWSKI Wojciech,17
4,117,HINC Przemysław Jakub,16
4,117,JAŚKOWIAK Jacek,632
4,117,LEWANDOWSKI Tomasz Jacek,106
4,117,PUCEK Jarosław,75
4,117,ZYSK Tadeusz,338
4,118,BONK-HAMMERMEISTER Dorota Magdalena,33
4,118,BRATKOWSKI Wojciech,15
4,118,HINC Przemysław Jakub,33
4,118,JAŚKOWIAK Jacek,636
4,118,LEWANDOWSKI Tomasz Jacek,115
4,118,PUCEK Jarosław,104
4,118,ZYSK Tadeusz,296
4,119,BONK-HAMMERMEISTER Dorota Magdalena,22
4,119,BRATKOWSKI Wojciech,14
4,119,HINC Przemysław Jakub,30
4,119,JAŚKOWIAK Jacek,656
4,119,LEWANDOWSKI Tomasz Jacek,103
4,119,PUCEK Jarosław,77
4,119,ZYSK Tadeusz,328
4,120,BONK-HAMMERMEISTER Dorota Magdalena,38
4,120,BRATKOWSKI Wojciech,23
4,120,HINC Przemysław Jakub,36
4,120,JAŚKOWIAK Jacek,695
4,120,LEWANDOWSKI Tomasz Jacek,101
4,120,PUCEK Jarosław,97
4,120,ZYSK Tadeusz,248
4,121,BONK-HAMMERMEISTER Dorota Magdalena,43
4,121,BRATKOWSKI Wojciech,15
4,121,HINC Przemysław Jakub,18
4,121,JAŚKOWIAK Jacek,665
4,121,LEWANDOWSKI Tomasz Jacek,98
4,121,PUCEK Jarosław,74
4,121,ZYSK Tadeusz,288
4,122,BONK-HAMMERMEISTER Dorota Magdalena,39
4,122,BRATKOWSKI Wojciech,17
4,122,HINC Przemysław Jakub,19
4,122,JAŚKOWIAK Jacek,657
4,122,LEWANDOWSKI Tomasz Jacek,107
4,122,PUCEK Jarosław,91
4,122,ZYSK Tadeusz,253
4,123,BONK-HAMMERMEISTER Dorota Magdalena,27
4,123,BRATKOWSKI Wojciech,22
4,123,HINC Przemysław Jakub,28
4,123,JAŚKOWIAK Jacek,698
4,123,LEWANDOWSKI Tomasz Jacek,92
4,123,PUCEK Jarosław,85
4,123,ZYSK Tadeusz,254
4,124,BONK-HAMMERMEISTER Dorota Magdalena,26
4,124,BRATKOWSKI Wojciech,17
4,124,HINC Przemysław Jakub,35
4,124,JAŚKOWIAK Jacek,639
4,124,LEWANDOWSKI Tomasz Jacek,112
4,124,PUCEK Jarosław,74
4,124,ZYSK Tadeusz,260
4,125,BONK-HAMMERMEISTER Dorota Magdalena,35
4,125,BRATKOWSKI Wojciech,15
4,125,HINC Przemysław Jakub,15
4,125,JAŚKOWIAK Jacek,699
4,125,LEWANDOWSKI Tomasz Jacek,132
4,125,PUCEK Jarosław,82
4,125,ZYSK Tadeusz,263
4,126,BONK-HAMMERMEISTER Dorota Magdalena,31
4,126,BRATKOWSKI Wojciech,16
4,126,HINC Przemysław Jakub,26
4,126,JAŚKOWIAK Jacek,618
4,126,LEWANDOWSKI Tomasz Jacek,95
4,126,PUCEK Jarosław,96
4,126,ZYSK Tadeusz,240
4,127,BONK-HAMMERMEISTER Dorota Magdalena,29
4,127,BRATKOWSKI Wojciech,26
4,127,HINC Przemysław Jakub,24
4,127,JAŚKOWIAK Jacek,632
4,127,LEWANDOWSKI Tomasz Jacek,91
4,127,PUCEK Jarosław,77
4,127,ZYSK Tadeusz,250
4,128,BONK-HAMMERMEISTER Dorota Magdalena,26
4,128,BRATKOWSKI Wojciech,17
4,128,HINC Przemysław Jakub,23
4,128,JAŚKOWIAK Jacek,447
4,128,LEWANDOWSKI Tomasz Jacek,72
4,128,PUCEK Jarosław,94
4,128,ZYSK Tadeusz,240
4,129,BONK-HAMMERMEISTER Dorota Magdalena,23
4,129,BRATKOWSKI Wojciech,15
4,129,HINC Przemysław Jakub,20
4,129,JAŚKOWIAK Jacek,409
4,129,LEWANDOWSKI Tomasz Jacek,95
4,129,PUCEK Jarosław,64
4,129,ZYSK Tadeusz,113
4,130,BONK-HAMMERMEISTER Dorota Magdalena,32
4,130,BRATKOWSKI Wojciech,10
4,130,HINC Przemysław Jakub,35
4,130,JAŚKOWIAK Jacek,512
4,130,LEWANDOWSKI Tomasz Jacek,130
4,130,PUCEK Jarosław,74
4,130,ZYSK Tadeusz,161
4,131,BONK-HAMMERMEISTER Dorota Magdalena,32
4,131,BRATKOWSKI Wojciech,19
4,131,HINC Przemysław Jakub,40
4,131,JAŚKOWIAK Jacek,357
4,131,LEWANDOWSKI Tomasz Jacek,131
4,131,PUCEK Jarosław,87
4,131,ZYSK Tadeusz,289
4,132,BONK-HAMMERMEISTER Dorota Magdalena,34
4,132,BRATKOWSKI Wojciech,18
4,132,HINC Przemysław Jakub,23
4,132,JAŚKOWIAK Jacek,552
4,132,LEWANDOWSKI Tomasz Jacek,215
4,132,PUCEK Jarosław,114
4,132,ZYSK Tadeusz,296
4,133,BONK-HAMMERMEISTER Dorota Magdalena,44
4,133,BRATKOWSKI Wojciech,8
4,133,HINC Przemysław Jakub,24
4,133,JAŚKOWIAK Jacek,448
4,133,LEWANDOWSKI Tomasz Jacek,120
4,133,PUCEK Jarosław,79
4,133,ZYSK Tadeusz,226
4,134,BONK-HAMMERMEISTER Dorota Magdalena,28
4,134,BRATKOWSKI Wojciech,20
4,134,HINC Przemysław Jakub,32
4,134,JAŚKOWIAK Jacek,495
4,134,LEWANDOWSKI Tomasz Jacek,129
4,134,PUCEK Jarosław,94
4,134,ZYSK Tadeusz,264
4,135,BONK-HAMMERMEISTER Dorota Magdalena,41
4,135,BRATKOWSKI Wojciech,17
4,135,HINC Przemysław Jakub,33
4,135,JAŚKOWIAK Jacek,571
4,135,LEWANDOWSKI Tomasz Jacek,92
4,135,PUCEK Jarosław,114
4,135,ZYSK Tadeusz,273
4,136,BONK-HAMMERMEISTER Dorota Magdalena,49
4,136,BRATKOWSKI Wojciech,21
4,136,HINC Przemysław Jakub,13
4,136,JAŚKOWIAK Jacek,581
4,136,LEWANDOWSKI Tomasz Jacek,102
4,136,PUCEK Jarosław,76
4,136,ZYSK Tadeusz,230
4,137,BONK-HAMMERMEISTER Dorota Magdalena,46
4,137,BRATKOWSKI Wojciech,12
4,137,HINC Przemysław Jakub,26
4,137,JAŚKOWIAK Jacek,554
4,137,LEWANDOWSKI Tomasz Jacek,71
4,137,PUCEK Jarosław,106
4,137,ZYSK Tadeusz,220
4,138,BONK-HAMMERMEISTER Dorota Magdalena,31
4,138,BRATKOWSKI Wojciech,17
4,138,HINC Przemysław Jakub,29
4,138,JAŚKOWIAK Jacek,513
4,138,LEWANDOWSKI Tomasz Jacek,59
4,138,PUCEK Jarosław,125
4,138,ZYSK Tadeusz,232
4,139,BONK-HAMMERMEISTER Dorota Magdalena,64
4,139,BRATKOWSKI Wojciech,13
4,139,HINC Przemysław Jakub,24
4,139,JAŚKOWIAK Jacek,602
4,139,LEWANDOWSKI Tomasz Jacek,71
4,139,PUCEK Jarosław,111
4,139,ZYSK Tadeusz,234
4,140,BONK-HAMMERMEISTER Dorota Magdalena,45
4,140,BRATKOWSKI Wojciech,12
4,140,HINC Przemysław Jakub,16
4,140,JAŚKOWIAK Jacek,312
4,140,LEWANDOWSKI Tomasz Jacek,42
4,140,PUCEK Jarosław,70
4,140,ZYSK Tadeusz,184
4,141,BONK-HAMMERMEISTER Dorota Magdalena,50
4,141,BRATKOWSKI Wojciech,14
4,141,HINC Przemysław Jakub,18
4,141,JAŚKOWIAK Jacek,400
4,141,LEWANDOWSKI Tomasz Jacek,52
4,141,PUCEK Jarosław,64
4,141,ZYSK Tadeusz,199
4,142,BONK-HAMMERMEISTER Dorota Magdalena,68
4,142,BRATKOWSKI Wojciech,18
4,142,HINC Przemysław Jakub,32
4,142,JAŚKOWIAK Jacek,544
4,142,LEWANDOWSKI Tomasz Jacek,67
4,142,PUCEK Jarosław,83
4,142,ZYSK Tadeusz,230
4,143,BONK-HAMMERMEISTER Dorota Magdalena,57
4,143,BRATKOWSKI Wojciech,9
4,143,HINC Przemysław Jakub,41
4,143,JAŚKOWIAK Jacek,566
4,143,LEWANDOWSKI Tomasz Jacek,52
4,143,PUCEK Jarosław,84
4,143,ZYSK Tadeusz,268
4,144,BONK-HAMMERMEISTER Dorota Magdalena,63
4,144,BRATKOWSKI Wojciech,8
4,144,HINC Przemysław Jakub,26
4,144,JAŚKOWIAK Jacek,402
4,144,LEWANDOWSKI Tomasz Jacek,43
4,144,PUCEK Jarosław,58
4,144,ZYSK Tadeusz,212
4,145,BONK-HAMMERMEISTER Dorota Magdalena,37
4,145,BRATKOWSKI Wojciech,10
4,145,HINC Przemysław Jakub,16
4,145,JAŚKOWIAK Jacek,424
4,145,LEWANDOWSKI Tomasz Jacek,32
4,145,PUCEK Jarosław,54
4,145,ZYSK Tadeusz,219
4,146,BONK-HAMMERMEISTER Dorota Magdalena,74
4,146,BRATKOWSKI Wojciech,19
4,146,HINC Przemysław Jakub,21
4,146,JAŚKOWIAK Jacek,520
4,146,LEWANDOWSKI Tomasz Jacek,48
4,146,PUCEK Jarosław,72
4,146,ZYSK Tadeusz,254
5,147,BONK-HAMMERMEISTER Dorota Magdalena,23
5,147,BRATKOWSKI Wojciech,12
5,147,HINC Przemysław Jakub,15
5,147,JAŚKOWIAK Jacek,500
5,147,LEWANDOWSKI Tomasz Jacek,45
5,147,PUCEK Jarosław,35
5,147,ZYSK Tadeusz,165
5,148,BONK-HAMMERMEISTER Dorota Magdalena,31
5,148,BRATKOWSKI Wojciech,16
5,148,HINC Przemysław Jakub,7
5,148,JAŚKOWIAK Jacek,476
5,148,LEWANDOWSKI Tomasz Jacek,59
5,148,PUCEK Jarosław,68
5,148,ZYSK Tadeusz,164
5,149,BONK-HAMMERMEISTER Dorota Magdalena,30
5,149,BRATKOWSKI Wojciech,17
5,149,HINC Przemysław Jakub,25
5,149,JAŚKOWIAK Jacek,697
5,149,LEWANDOWSKI Tomasz Jacek,48
5,149,PUCEK Jarosław,51
5,149,ZYSK Tadeusz,256
5,150,BONK-HAMMERMEISTER Dorota Magdalena,30
5,150,BRATKOWSKI Wojciech,11
5,150,HINC Przemysław Jakub,19
5,150,JAŚKOWIAK Jacek,443
5,150,LEWANDOWSKI Tomasz Jacek,53
5,150,PUCEK Jarosław,66
5,150,ZYSK Tadeusz,201
5,151,BONK-HAMMERMEISTER Dorota Magdalena,26
5,151,BRATKOWSKI Wojciech,13
5,151,HINC Przemysław Jakub,6
5,151,JAŚKOWIAK Jacek,396
5,151,LEWANDOWSKI Tomasz Jacek,49
5,151,PUCEK Jarosław,52
5,151,ZYSK Tadeusz,165
5,152,BONK-HAMMERMEISTER Dorota Magdalena,30
5,152,BRATKOWSKI Wojciech,17
5,152,HINC Przemysław Jakub,26
5,152,JAŚKOWIAK Jacek,618
5,152,LEWANDOWSKI Tomasz Jacek,97
5,152,PUCEK Jarosław,74
5,152,ZYSK Tadeusz,197
5,153,BONK-HAMMERMEISTER Dorota Magdalena,25
5,153,BRATKOWSKI Wojciech,13
5,153,HINC Przemysław Jakub,27
5,153,JAŚKOWIAK Jacek,426
5,153,LEWANDOWSKI Tomasz Jacek,53
5,153,PUCEK Jarosław,120
5,153,ZYSK Tadeusz,232
5,154,BONK-HAMMERMEISTER Dorota Magdalena,16
5,154,BRATKOWSKI Wojciech,9
5,154,HINC Przemysław Jakub,20
5,154,JAŚKOWIAK Jacek,423
5,154,LEWANDOWSKI Tomasz Jacek,72
5,154,PUCEK Jarosław,49
5,154,ZYSK Tadeusz,191
5,155,BONK-HAMMERMEISTER Dorota Magdalena,23
5,155,BRATKOWSKI Wojciech,17
5,155,HINC Przemysław Jakub,19
5,155,JAŚKOWIAK Jacek,514
5,155,LEWANDOWSKI Tomasz Jacek,82
5,155,PUCEK Jarosław,80
5,155,ZYSK Tadeusz,224
5,156,BONK-HAMMERMEISTER Dorota Magdalena,25
5,156,BRATKOWSKI Wojciech,10
5,156,HINC Przemysław Jakub,22
5,156,JAŚKOWIAK Jacek,449
5,156,LEWANDOWSKI Tomasz Jacek,75
5,156,PUCEK Jarosław,53
5,156,ZYSK Tadeusz,164
5,157,BONK-HAMMERMEISTER Dorota Magdalena,19
5,157,BRATKOWSKI Wojciech,14
5,157,HINC Przemysław Jakub,18
5,157,JAŚKOWIAK Jacek,498
5,157,LEWANDOWSKI Tomasz Jacek,90
5,157,PUCEK Jarosław,81
5,157,ZYSK Tadeusz,215
5,158,BONK-HAMMERMEISTER Dorota Magdalena,29
5,158,BRATKOWSKI Wojciech,26
5,158,HINC Przemysław Jakub,19
5,158,JAŚKOWIAK Jacek,564
5,158,LEWANDOWSKI Tomasz Jacek,55
5,158,PUCEK Jarosław,82
5,158,ZYSK Tadeusz,208
5,159,BONK-HAMMERMEISTER Dorota Magdalena,22
5,159,BRATKOWSKI Wojciech,20
5,159,HINC Przemysław Jakub,7
5,159,JAŚKOWIAK Jacek,520
5,159,LEWANDOWSKI Tomasz Jacek,72
5,159,PUCEK Jarosław,47
5,159,ZYSK Tadeusz,209
5,160,BONK-HAMMERMEISTER Dorota Magdalena,48
5,160,BRATKOWSKI Wojciech,23
5,160,HINC Przemysław Jakub,34
5,160,JAŚKOWIAK Jacek,821
5,160,LEWANDOWSKI Tomasz Jacek,79
5,160,PUCEK Jarosław,93
5,160,ZYSK Tadeusz,259
5,161,BONK-HAMMERMEISTER Dorota Magdalena,35
5,161,BRATKOWSKI Wojciech,19
5,161,HINC Przemysław Jakub,24
5,161,JAŚKOWIAK Jacek,630
5,161,LEWANDOWSKI Tomasz Jacek,61
5,161,PUCEK Jarosław,78
5,161,ZYSK Tadeusz,220
5,162,BONK-HAMMERMEISTER Dorota Magdalena,35
5,162,BRATKOWSKI Wojciech,28
5,162,HINC Przemysław Jakub,26
5,162,JAŚKOWIAK Jacek,579
5,162,LEWANDOWSKI Tomasz Jacek,60
5,162,PUCEK Jarosław,76
5,162,ZYSK Tadeusz,250
5,163,BONK-HAMMERMEISTER Dorota Magdalena,46
5,163,BRATKOWSKI Wojciech,13
5,163,HINC Przemysław Jakub,20
5,163,JAŚKOWIAK Jacek,676
5,163,LEWANDOWSKI Tomasz Jacek,82
5,163,PUCEK Jarosław,66
5,163,ZYSK Tadeusz,202
5,164,BONK-HAMMERMEISTER Dorota Magdalena,26
5,164,BRATKOWSKI Wojciech,12
5,164,HINC Przemysław Jakub,20
5,164,JAŚKOWIAK Jacek,541
5,164,LEWANDOWSKI Tomasz Jacek,52
5,164,PUCEK Jarosław,74
5,164,ZYSK Tadeusz,180
5,165,BONK-HAMMERMEISTER Dorota Magdalena,25
5,165,BRATKOWSKI Wojciech,6
5,165,HINC Przemysław Jakub,21
5,165,JAŚKOWIAK Jacek,618
5,165,LEWANDOWSKI Tomasz Jacek,80
5,165,PUCEK Jarosław,85
5,165,ZYSK Tadeusz,191
5,166,BONK-HAMMERMEISTER Dorota Magdalena,27
5,166,BRATKOWSKI Wojciech,12
5,166,HINC Przemysław Jakub,18
5,166,JAŚKOWIAK Jacek,609
5,166,LEWANDOWSKI Tomasz Jacek,78
5,166,PUCEK Jarosław,63
5,166,ZYSK Tadeusz,230
5,167,BONK-HAMMERMEISTER Dorota Magdalena,36
5,167,BRATKOWSKI Wojciech,16
5,167,HINC Przemysław Jakub,24
5,167,JAŚKOWIAK Jacek,668
5,167,LEWANDOWSKI Tomasz Jacek,91
5,167,PUCEK Jarosław,90
5,167,ZYSK Tadeusz,252
5,168,BONK-HAMMERMEISTER Dorota Magdalena,33
5,168,BRATKOWSKI Wojciech,18
5,168,HINC Przemysław Jakub,21
5,168,JAŚKOWIAK Jacek,600
5,168,LEWANDOWSKI Tomasz Jacek,87
5,168,PUCEK Jarosław,78
5,168,ZYSK Tadeusz,260
5,169,BONK-HAMMERMEISTER Dorota Magdalena,28
5,169,BRATKOWSKI Wojciech,23
5,169,HINC Przemysław Jakub,23
5,169,JAŚKOWIAK Jacek,628
5,169,LEWANDOWSKI Tomasz Jacek,112
5,169,PUCEK Jarosław,83
5,169,ZYSK Tadeusz,118
5,170,BONK-HAMMERMEISTER Dorota Magdalena,30
5,170,BRATKOWSKI Wojciech,16
5,170,HINC Przemysław Jakub,17
5,170,JAŚKOWIAK Jacek,501
5,170,LEWANDOWSKI Tomasz Jacek,112
5,170,PUCEK Jarosław,83
5,170,ZYSK Tadeusz,172
5,171,BONK-HAMMERMEISTER Dorota Magdalena,39
5,171,BRATKOWSKI Wojciech,10
5,171,HINC Przemysław Jakub,28
5,171,JAŚKOWIAK Jacek,506
5,171,LEWANDOWSKI Tomasz Jacek,53
5,171,PUCEK Jarosław,79
5,171,ZYSK Tadeusz,200
5,172,BONK-HAMMERMEISTER Dorota Magdalena,33
5,172,BRATKOWSKI Wojciech,12
5,172,HINC Przemysław Jakub,11
5,172,JAŚKOWIAK Jacek,397
5,172,LEWANDOWSKI Tomasz Jacek,51
5,172,PUCEK Jarosław,69
5,172,ZYSK Tadeusz,172
5,173,BONK-HAMMERMEISTER Dorota Magdalena,36
5,173,BRATKOWSKI Wojciech,11
5,173,HINC Przemysław Jakub,27
5,173,JAŚKOWIAK Jacek,459
5,173,LEWANDOWSKI Tomasz Jacek,44
5,173,PUCEK Jarosław,85
5,173,ZYSK Tadeusz,250
5,174,BONK-HAMMERMEISTER Dorota Magdalena,15
5,174,BRATKOWSKI Wojciech,19
5,174,HINC Przemysław Jakub,24
5,174,JAŚKOWIAK Jacek,408
5,174,LEWANDOWSKI Tomasz Jacek,40
5,174,PUCEK Jarosław,68
5,174,ZYSK Tadeusz,261
5,175,BONK-HAMMERMEISTER Dorota Magdalena,22
5,175,BRATKOWSKI Wojciech,14
5,175,HINC Przemysław Jakub,26
5,175,JAŚKOWIAK Jacek,353
5,175,LEWANDOWSKI Tomasz Jacek,45
5,175,PUCEK Jarosław,65
5,175,ZYSK Tadeusz,172
5,176,BONK-HAMMERMEISTER Dorota Magdalena,32
5,176,BRATKOWSKI Wojciech,17
5,176,HINC Przemysław Jakub,41
5,176,JAŚKOWIAK Jacek,598
5,176,LEWANDOWSKI Tomasz Jacek,62
5,176,PUCEK Jarosław,50
5,176,ZYSK Tadeusz,242
5,177,BONK-HAMMERMEISTER Dorota Magdalena,29
5,177,BRATKOWSKI Wojciech,24
5,177,HINC Przemysław Jakub,38
5,177,JAŚKOWIAK Jacek,665
5,177,LEWANDOWSKI Tomasz Jacek,71
5,177,PUCEK Jarosław,74
5,177,ZYSK Tadeusz,280
5,178,BONK-HAMMERMEISTER Dorota Magdalena,29
5,178,BRATKOWSKI Wojciech,18
5,178,HINC Przemysław Jakub,12
5,178,JAŚKOWIAK Jacek,470
5,178,LEWANDOWSKI Tomasz Jacek,37
5,178,PUCEK Jarosław,44
5,178,ZYSK Tadeusz,203
5,179,BONK-HAMMERMEISTER Dorota Magdalena,24
5,179,BRATKOWSKI Wojciech,16
5,179,HINC Przemysław Jakub,37
5,179,JAŚKOWIAK Jacek,419
5,179,LEWANDOWSKI Tomasz Jacek,39
5,179,PUCEK Jarosław,65
5,179,ZYSK Tadeusz,219
5,180,BONK-HAMMERMEISTER Dorota Magdalena,23
5,180,BRATKOWSKI Wojciech,22
5,180,HINC Przemysław Jakub,28
5,180,JAŚKOWIAK Jacek,634
5,180,LEWANDOWSKI Tomasz Jacek,58
5,180,PUCEK Jarosław,77
5,180,ZYSK Tadeusz,202
5,181,BONK-HAMMERMEISTER Dorota Magdalena,49
5,181,BRATKOWSKI Wojciech,19
5,181,HINC Przemysław Jakub,28
5,181,JAŚKOWIAK Jacek,610
5,181,LEWANDOWSKI Tomasz Jacek,75
5,181,PUCEK Jarosław,102
5,181,ZYSK Tadeusz,238
5,182,BONK-HAMMERMEISTER Dorota Magdalena,35
5,182,BRATKOWSKI Wojciech,17
5,182,HINC Przemysław Jakub,29
5,182,JAŚKOWIAK Jacek,614
5,182,LEWANDOWSKI Tomasz Jacek,55
5,182,PUCEK Jarosław,67
5,182,ZYSK Tadeusz,153
5,183,BONK-HAMMERMEISTER Dorota Magdalena,30
5,183,BRATKOWSKI Wojciech,17
